date_slot,specialization,doctor_name,is_available,patient_to_attend,date_slot_time
05-08-2024 08:00,general_dentist,john doe,False,1000031.0,08:00
05-08-2024 08:30,general_dentist,john doe,False,1000082.0,08:30
05-08-2024 09:00,general_dentist,john doe,False,1000048.0,09:00
05-08-2024 09:30,general_dentist,john doe,False,1000036.0,09:30
05-08-2024 10:00,general_dentist,john doe,False,1000024.0,10:00
05-08-2024 10:30,general_dentist,john doe,False,1000011.0,10:30
05-08-2024 11:00,general_dentist,john doe,False,1000061.0,11:00
05-08-2024 11:30,general_dentist,john doe,False,1000062.0,11:30
05-08-2024 12:00,general_dentist,john doe,False,1000046.0,12:00
05-08-2024 12:30,general_dentist,john doe,False,1000057.0,12:30
05-08-2024 13:00,general_dentist,john doe,False,1000088.0,13:00
05-08-2024 13:30,general_dentist,john doe,False,1000090.0,13:30
05-08-2024 14:00,general_dentist,john doe,False,1000069.0,14:00
05-08-2024 14:30,general_dentist,john doe,False,1000065.0,14:30
05-08-2024 15:00,general_dentist,john doe,False,1000026.0,15:00
05-08-2024 15:30,general_dentist,john doe,False,1000006.0,15:30
05-08-2024 16:00,general_dentist,john doe,False,1000029.0,16:00
05-08-2024 16:30,general_dentist,john doe,False,1000073.0,16:30
06-08-2024 08:00,general_dentist,john doe,False,1000018.0,08:00
06-08-2024 08:30,general_dentist,john doe,False,1000048.0,08:30
06-08-2024 09:00,general_dentist,john doe,False,1000085.0,09:00
06-08-2024 09:30,general_dentist,john doe,False,1000074.0,09:30
06-08-2024 10:00,general_dentist,john doe,False,1000094.0,10:00
06-08-2024 10:30,general_dentist,john doe,False,1000047.0,10:30
06-08-2024 11:00,general_dentist,john doe,False,1000087.0,11:00
06-08-2024 11:30,general_dentist,john doe,False,1000071.0,11:30
06-08-2024 12:00,general_dentist,john doe,False,1000059.0,12:00
06-08-2024 12:30,general_dentist,john doe,False,1000073.0,12:30
06-08-2024 13:00,general_dentist,john doe,False,1000042.0,13:00
06-08-2024 13:30,general_dentist,john doe,False,1000060.0,13:30
06-08-2024 14:00,general_dentist,john doe,False,1000033.0,14:00
06-08-2024 14:30,general_dentist,john doe,False,1000067.0,14:30
06-08-2024 15:00,general_dentist,john doe,False,1000039.0,15:00
06-08-2024 15:30,general_dentist,john doe,False,1000071.0,15:30
